                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                  0.891,                0.42859,                 1.1775,                0.99692,                      1,                0.99466,                0.78724,                0.89708,                0.35664,                 1.2308,             0.00085942,             0.00085942,             0.00085942
                     74,                0.88982,                 0.4377,                 1.1729,                0.99009,                      1,                0.99465,                0.76459,                0.91212,                 0.3588,                 1.2397,             0.00085744,             0.00085744,             0.00085744
                     75,                0.88766,                0.43323,                 1.1589,                0.99679,                      1,                 0.9946,                0.78314,                0.90344,                 0.3554,                 1.2336,             0.00085546,             0.00085546,             0.00085546
                     76,                0.87235,                0.43001,                 1.1595,                0.99393,                      1,                0.99325,                0.77468,                0.88819,                0.36219,                 1.2075,             0.00085348,             0.00085348,             0.00085348
                     77,                0.85919,                0.42356,                 1.1631,                0.99389,                0.99713,                 0.9948,                0.78551,                0.90379,                0.35757,                 1.2182,              0.0008515,              0.0008515,              0.0008515
                     78,                0.85852,                0.42649,                 1.1704,                0.99691,                      1,                0.99474,                0.78933,                0.90069,                0.38923,                 1.2286,             0.00084952,             0.00084952,             0.00084952
                     79,                0.88759,                0.43854,                 1.1654,                0.99398,                      1,                0.99466,                0.77467,                0.93505,                0.36497,                  1.255,             0.00084754,             0.00084754,             0.00084754
                     80,                0.86478,                0.42653,                 1.1646,                0.99427,                0.99657,                 0.9946,                0.79842,                0.86156,                0.35413,                 1.1887,             0.00084556,             0.00084556,             0.00084556
                     81,                0.85953,                0.42254,                 1.1624,                0.99684,                      1,                0.99446,                0.78054,                0.90276,                 0.3563,                 1.2197,             0.00084358,             0.00084358,             0.00084358
                     82,                0.88289,                0.42177,                 1.1547,                0.99685,                      1,                0.99471,                0.79818,                0.90355,                0.33886,                 1.2027,              0.0008416,              0.0008416,              0.0008416
                     83,                0.87704,                  0.422,                 1.1735,                0.99397,                      1,                0.99489,                0.80387,                0.86643,                0.34348,                  1.193,             0.00083962,             0.00083962,             0.00083962
                     84,                0.85666,                0.42393,                 1.1563,                0.99684,                      1,                0.99451,                0.79024,                0.88762,                0.36191,                 1.2176,             0.00083764,             0.00083764,             0.00083764
