                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.70501,                0.33057,                 1.0828,                0.99136,                0.99425,                0.99408,                0.77439,                0.86849,                0.32509,                    1.2,             8.7724e-05,             8.7724e-05,             8.7724e-05
                     65,                0.72324,                0.33201,                 1.0893,                 0.9914,                0.99351,                0.99325,                0.77576,                0.88836,                0.33031,                 1.2021,             8.7526e-05,             8.7526e-05,             8.7526e-05
                     66,                0.69598,                0.32626,                 1.0724,                0.99553,                      1,                0.99437,                0.78978,                0.86199,                0.30039,                 1.1813,             8.7328e-05,             8.7328e-05,             8.7328e-05
                     67,                0.73356,                0.34211,                 1.0883,                0.99363,                0.99713,                0.99412,                0.78158,                0.85433,                 0.3025,                 1.1894,              8.713e-05,              8.713e-05,              8.713e-05
                     68,                0.72992,                0.32914,                  1.085,                0.99167,                0.99713,                0.99407,                0.79266,                 0.8843,                0.31666,                 1.1963,             8.6932e-05,             8.6932e-05,             8.6932e-05
                     69,                0.71525,                0.32556,                 1.0735,                0.99402,                0.99713,                0.99428,                0.78621,                0.83548,                0.30691,                 1.1704,             8.6734e-05,             8.6734e-05,             8.6734e-05
                     70,                0.70229,                0.32684,                  1.076,                0.99407,                      1,                0.99418,                0.79418,                0.85474,                0.31106,                 1.1818,             8.6536e-05,             8.6536e-05,             8.6536e-05
                     71,                0.72508,                0.33576,                 1.0857,                0.98767,                0.99713,                0.99239,                0.77642,                 0.8836,                0.32252,                 1.1857,             8.6338e-05,             8.6338e-05,             8.6338e-05
                     72,                0.68854,                0.32764,                 1.0672,                0.99692,                      1,                0.99466,                0.77638,                0.86122,                0.30668,                 1.1865,              8.614e-05,              8.614e-05,              8.614e-05
                     73,                0.68402,                0.31842,                 1.0658,                0.99145,                0.99998,                0.99327,                0.78718,                0.84576,                0.31064,                 1.1715,             8.5942e-05,             8.5942e-05,             8.5942e-05
                     74,                0.68306,                0.32288,                 1.0619,                0.99401,                      1,                0.99389,                0.78446,                0.87139,                0.30915,                 1.2062,             8.5744e-05,             8.5744e-05,             8.5744e-05
                     75,                0.70282,                0.32656,                 1.0672,                0.99406,                0.99713,                0.99408,                0.78299,                0.87496,                0.30711,                 1.2133,             8.5546e-05,             8.5546e-05,             8.5546e-05
                     76,                0.70422,                0.31934,                 1.0741,                0.99403,                0.99713,                0.99401,                0.77796,                0.88984,                0.30669,                 1.1955,             8.5348e-05,             8.5348e-05,             8.5348e-05
                     77,                0.69282,                0.32009,                 1.0687,                0.99377,                0.99713,                0.99413,                0.76865,                0.85599,                0.31728,                  1.187,              8.515e-05,              8.515e-05,              8.515e-05
                     78,                0.69314,                0.32996,                 1.0673,                0.99405,                0.99713,                0.99471,                0.76322,                 0.8546,                0.30193,                 1.1899,             8.4952e-05,             8.4952e-05,             8.4952e-05
                     79,                 0.6947,                0.32219,                 1.0635,                0.99399,                0.99713,                0.99371,                0.77878,                0.86575,                0.30352,                 1.1892,             8.4754e-05,             8.4754e-05,             8.4754e-05
                     80,                0.68343,                0.31977,                 1.0616,                0.99387,                0.99425,                0.99402,                0.77353,                0.85952,                0.30887,                 1.1947,             8.4556e-05,             8.4556e-05,             8.4556e-05
                     81,                 0.6819,                0.32652,                 1.0562,                0.99405,                0.99713,                0.99394,                0.78316,                0.86547,                 0.3069,                 1.1861,             8.4358e-05,             8.4358e-05,             8.4358e-05
                     82,                0.68268,                0.32165,                 1.0555,                0.99402,                0.99713,                0.99433,                0.78421,                0.90978,                0.32146,                 1.2187,              8.416e-05,              8.416e-05,              8.416e-05
